"QuestionId","AnswerId","Score","CreationDate","AnswerCommentCount","IsAcceptedAnswer"
15362,15369,3,"2011-09-09 14:43:42",0,TRUE
15362,15414,1,"2011-09-10 19:09:23",2,FALSE
15364,15381,3,"2011-09-09 16:38:40",1,FALSE
15364,15385,3,"2011-09-09 17:19:20",0,TRUE
15368,18415,2,"2011-11-15 13:55:04",1,FALSE
15370,15383,1,"2011-09-09 16:51:21",2,FALSE
15371,15373,3,"2011-09-09 12:40:53",3,TRUE
15375,15376,3,"2010-08-15 04:54:49",0,FALSE
15375,15377,3,"2010-08-16 14:16:30",0,FALSE
15379,15386,3,"2011-09-09 17:20:23",2,FALSE
15379,16712,2,"2011-10-08 15:18:48",0,FALSE
15379,16763,1,"2011-10-10 02:04:24",0,FALSE
15379,16774,1,"2011-10-10 06:20:30",0,FALSE
15387,15388,4,"2011-09-09 17:58:13",2,TRUE
15387,15389,1,"2011-09-09 17:58:25",1,FALSE
15390,15405,0,"2011-09-10 02:04:41",3,TRUE
15391,15402,3,"2011-09-09 22:34:43",1,TRUE
15392,15397,0,"2011-09-09 20:42:47",2,FALSE
15392,15401,3,"2011-09-09 22:02:01",2,FALSE
15394,15396,2,"2011-09-09 20:27:37",7,TRUE
15398,15404,0,"2011-09-09 23:03:14",2,FALSE
15398,16558,0,"2011-10-05 20:40:45",0,TRUE
15406,15409,1,"2011-09-10 09:17:23",1,FALSE
15406,15410,3,"2011-09-10 11:21:59",0,FALSE
15413,15416,6,"2011-09-10 19:58:38",4,TRUE
15418,15420,2,"2011-09-10 23:47:30",0,FALSE
15418,15421,0,"2011-09-10 23:58:33",0,FALSE
15419,15440,2,"2011-09-11 18:02:46",0,FALSE
15422,15453,1,"2011-09-12 02:49:53",3,FALSE
15422,15534,0,"2011-09-14 11:05:37",1,TRUE
15423,15439,6,"2011-09-11 17:44:17",5,FALSE
15424,15450,3,"2011-09-12 01:15:31",0,TRUE
15426,15430,6,"2011-09-11 09:43:59",2,FALSE
15426,15437,10,"2011-09-11 17:22:42",1,FALSE
15427,15435,1,"2011-09-11 16:15:26",3,FALSE
15427,15471,4,"2011-09-12 15:36:30",9,TRUE
15428,15442,2,"2011-09-11 19:35:53",0,FALSE
15428,16457,0,"2011-10-04 07:03:30",0,FALSE
15429,15438,4,"2011-09-11 17:32:01",0,FALSE
15429,15460,3,"2011-09-12 09:24:03",1,FALSE
15433,15434,2,"2011-09-11 15:45:49",0,FALSE
15433,15473,0,"2011-09-12 16:10:00",0,FALSE
15444,15446,4,"2011-09-11 22:37:25",2,FALSE
15444,15451,2,"2011-09-12 01:18:26",1,TRUE
