"Id","Title","Score","AnswerCount","CommentCount","cluster"
1,"Eliciting priors from experts",18,5,1,6
2,"What is normality?",14,6,1,3
3,"What are some valuable Statistical Analysis open source projects?",42,18,4,5
4,"Assessing the significance of differences in distributions",7,5,2,5
6,"The Two Cultures: statistics vs. machine learning?",72,12,5,4
7,"Locating freely available data samples",49,20,3,3
8,"So how many staticians *does* it take to screw in a lightbulb?",0,1,2,7
10,"Under what conditions should Likert scales be used as ordinal or interval data?",8,3,4,2
11,"Multivariate Interpolation Approaches",2,1,2,8
17,"How can I adapt ANOVA for binary data?",7,1,0,8
21,"Forecasting demographic census",4,1,1,6
22,"Bayesian and frequentist reasoning in plain English",55,13,0,7
23,"Finding the PDF given the CDF",7,2,1,2
25,"Tools for modeling financial time series",7,6,3,6
26,"What is a standard deviation?",15,10,11,2
30,"Testing random variate generation algorithms",6,5,1,2
31,"What is the meaning of p values and t values in statistical tests?",30,8,0,4
33,"R packages for seasonality analysis",5,3,1,4
35,"Modelling a Poisson distribution with overdispersion",3,2,0,8
36,"Correlation does not mean causation",20,20,6,7
39,"Sample problems on logit modeling and Bayesian methods",4,1,0,4
40,"Pseudo-random number generation algorithms",7,3,1,3
44,"Explain data visualization",7,5,1,8
47,"Clustering of large, heavy-tailed dataset",7,4,2,1
50,"What is meant by a ""random variable""?",7,5,3,1
51,"Measuring the effectiveness of a pattern recognition software",1,1,0,6
53,"PCA on Correlation or Covariance?",24,4,0,5
54,"Why do US and UK Schools Teach Different methods of Calculating the Standard Deviation?",8,4,4,1
58,"Can someone please explain the back-propagation algorithm?",9,4,0,4
62,"A case of survivorship bias?",3,2,0,8
73,"What R packages do you find most useful in your daily work?",17,20,5,1
75,"Where can I find useful R tutorials with various implementations?",4,5,4,8
93,"Robust nonparametric estimation of hazard/survival functions based on low count data",6,1,3,5
95,"How Large a Difference Can Be Expected Between Standard GARCH and Asymmetric GARCH Volatility Forecasts?",5,1,0,4
97,"What are good basic statistics to use for ordinal data?",18,7,0,8
100,"What's the purpose of window function in spectral analysis?",2,2,0,1
103,"What is your favorite data visualization blog?",20,16,6,3
109,"Power of Holm's multiple comparison testing compared to others",2,1,2,2
113,"What are some good frameworks for method selection?",7,1,5,6
114,"What statistical blogs would you recommend?",23,10,1,3
118,"Why square the difference instead of taking the absolute value in standard deviation?",61,15,6,7
124,"Statistical classification of text",15,6,0,2
125,"What is the best introductory Bayesian statistics textbook?",32,23,1,2
128,"How does one interpret a Bland-Altman plot?",4,1,0,8
130,"Clojure versus R: advantages and disadvantages for data analysis",16,4,10,3
134,"Algorithms to compute the running median?",8,5,6,6
138,"Resources for learning R",27,17,5,4
145,"Free Dataset Resources?",4,5,4,5
146,"PCA scores in multiple regression",11,6,3,6
152,"Is there a standard method to deal with label switching problem in MCMC estimation of mixture models?",8,2,2,8
155,"What is your favorite layman's explanation for a difficult statistical concept?",19,9,2,4
156,"How to get to a t variable from linear regression",2,1,0,5
161,"What methods can be used to determine the Order of Integration of a time series?",8,2,0,1
165,"How would you explain Markov Chain Monte Carlo (MCMC) to a layperson?",27,8,3,6
166,"How do you decide the sample size when polling a large population?",8,3,0,7
168,"Choosing a bandwidth for kernel density estimators",11,2,1,4
170,"Free statistical textbooks",37,16,2,7
173,"Time series for count data, with counts < 20",13,9,0,4
175,"How should outliers be dealt with in linear regression analysis?",21,8,1,6
181,"How to choose the number of hidden layers and nodes in a feedforward neural network?",21,4,0,3
183,"What tools could be used for applying clustering algorithms on MovieLens?",2,2,0,8
192,"Cross tabulation of two categorical variables: recommended techniques",3,4,1,4
194,"Data Mining-- How to Tell Whether the Pattern Extracted is Meaningful?",6,3,2,2
195,"What do you think is the best goodness of fit test?",4,3,0,3
196,"Open source tools for visualizing multi-dimensional data?",9,6,1,7
203,"Group differences on a five point Likert item",10,5,2,6
205,"Why do we make a big fuss about using Fisher scoring when we fit a GLM?",8,2,0,6
206,"What is the difference between discrete data and continuous data?",3,5,1,3
212,"What method to use to test Statistical Significance of ASR results",3,3,0,3
213,"What is the best way to identify outliers in multivariate data?",31,14,2,8
216,"Web visualization libraries",8,3,0,1
220,"How is the minimum of a set of random variables distributed?",6,3,2,5
222,"What are principal component scores?",12,7,1,2
223,"Intro to statistics for an MD?",5,4,5,7
224,"Recommended visualization libraries for standalone applications",7,10,3,2
225,"Why is the average of the highest value from 100 draws from a normal distribution different from the 98th percentile of the normal distribution?",7,4,2,7
242,"Using time series analysis to analyze/predict violent behavior",11,2,5,8
249,"Variance components",4,1,1,1
256,"How boosting works?",9,3,0,5
257,"What is the easiest way to create publication-quality plots under Linux?",12,6,1,5
258,"What is the best out-of-the-box 2-class classifier for your application?",10,8,0,5
267,"How do I calculate if the degree of overlap between two lists is significant?",3,1,1,7
269,"What is the difference between a population and a sample?",8,3,0,6
270,"Poisson regression with large data: is it wrong to change the unit of measurement?",10,5,0,7
276,"How large should a sample be for a given estimation technique and parameters?",8,4,0,2
277,"Spatial statistics models -- CAR vs SAR",9,2,0,5
278,"How to deal with the effect of the order of observations in a non hierarchical cluster analysis?",6,3,1,3
283,"What is a ""saturated"" model?",12,5,0,2
287,"What is the difference/relationship between method of moments and GMM?",3,1,1,3
288,"Estimating beta-binomial distribution",5,3,0,5
290,"Resources for learning Stata",6,7,1,4
298,"In linear regression, when is it appropriate to use the log of an independent variable instead of the actual values?",19,6,2,1
305,"When conducting a t-test why would one prefer to assume (or test for) equal variances rather than always use a Welch approximation of the df?",19,6,0,2
312,"What approach could be used for modelling virus infections?",3,1,0,6
321,"How does gentle boosting differ from AdaBoost?",6,1,4,2
322,"Good introduction into different kinds of entropy",9,6,0,8
325,"When to use null hypothesis testing?",0,0,3,3
328,"Resources for learning about the Statistical Analysis of Financial Data",5,9,3,1
341,"kNN and unbalanced classes",2,2,0,2
346,"What is a good algorithm for estimating the median of a huge read-once data set?",16,7,2,2
354,"Bias towards natural numbers in the case of least squares",5,4,0,4
359,"The trinity of tests in maximum likelihood: what to do when faced with contradicting conclusions?",8,3,0,4
362,"What is the difference between the Shapiro-Wilk test of normality and the Kolmogorov-Smirnov test of normality?",9,1,0,2
363,"What is the single most influential book every statistician should read?",43,19,3,8
369,"Working through a clustering problem",5,4,0,5
372,"What are the key statistical concepts that relate to data mining?",2,2,5,3
373,"The Monty Hall Problem - where does our intuition fail us?",19,11,1,4
374,"What are pivot tables, and how can they be helpful in analyzing data?",6,1,0,7
375,"Testing (and proving) the randomness of numbers",6,3,2,5
395,"How to tell if something happened in a data set which monitors a value over time",4,2,1,7
396,"What best practices should I follow when preparing plots?",27,15,0,4
409,"How to approximate measurement uncertainty?",2,2,0,8
411,"Motivation for Kolmogorov distance between distributions",24,5,8,8
414,"Introduction to statistics for mathematicians",16,6,0,2
418,"Why isn't RANSAC most widely used in statistics?",7,2,0,1
421,"What book would you recommend for non-statistician scientists?",28,23,3,6
423,"What is your favorite ""data analysis"" cartoon?",66,43,6,5
452,"Always Report Robust (White) Standard Errors?",8,5,4,1
459,"Good line color for ""threshold"" line in a time-series graph?",6,4,0,1
480,"How does random forest generate the random forest",6,2,0,7
481,"Is it valid to aggregate a time series to make it look more meaningful?",6,3,0,8
485,"Mathematical Statistics Videos",31,17,3,2
486,"Negative values for AICc (corrected Akaike Information Criterion)",11,4,3,7
490,"Variable selection procedure for binary classification",10,6,2,8
492,"Dubious use of signal processing principles to identify a trend",6,5,2,1
498,"In PC SAS, how do you copy & paste from the output window?",2,4,11,4
499,"When can you use data-based criteria to specify a regression model?",15,5,0,6
507,"What is the best method for checking convergence in MCMC?",8,4,1,3
517,"Unsupervised, supervised and semi-supervised learning",11,3,2,7
524,"Is there a standard technique to debug MCMC programs?",8,3,0,8
526,"Does the cross validation implementation influence its results?",5,2,0,5
527,"What ways are there to show two analytical methods are equivalent?",5,6,2,3
534,"Under what conditions does correlation imply causation?",29,14,5,6
539,"Does it ever make sense to treat categorical data as continuous?",20,4,2,1
548,"How can I use optimal scaling to scale an ordinal categorical variable?",4,1,0,2
555,"Why is ANOVA taught / used as if it is a different research methodology compared to linear regression?",21,3,2,8
558,"Comprehensive overview of loss functions?",6,4,0,3
562,"When to use multiple models for prediction?",10,5,1,5
563,"What is an instrumental variable?",5,3,5,3
564,"What is difference-in-differences?",1,1,2,1
570,"What graphical techniques are used in Structural Equation Modeling?",10,3,2,1
573,"How to understand a convolutional deep belief network for audio classification",8,1,2,2
575,"Post-hocs for within subjects tests?",10,5,3,1
577,"Is there any reason to prefer the AIC or BIC over the other?",48,10,0,7
581,"Differences between Baum Welch and Viterbi Training",1,2,2,2
590,"To what extent can we call a Geometric Distribution a Geometric Density",2,1,3,5
594,"E-M, is there an intuitive explanation?",7,1,1,6
